Brand,Model,Specifications,Manufacturing Date,Disposal/Reuse Status,Components,Material Composition,Environmental Impact,End-of-Life Management,E-waste Regulations Compliance,Energy Efficiency Rating,Usage History
HP,Envy x360,"Intel Core i5-1135G7, 16GB RAM, 512GB SSD",30-03-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a student for 9 months
Microsoft,Surface Pro 7,"Intel Core i5, 8GB RAM, 128GB SSD",12-05-2020,Reused,"Motherboard, CPU, RAM, SSD","Magnesium, plastic, silicon",Low,Donated to a library,Yes,A,Used by a librarian for 1 year
Apple,Mac Mini,"Apple M1, 16GB RAM, 512GB SSD",08-07-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, recycled plastic",Low,Donated to a school,Yes,A,Used by a student for 1 year
Samsung,Notebook 9 Pro,"Intel Core i7-8565U, 16GB RAM, 256GB SSD",25-01-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a professional for 6 months
Acer,Predator Helios 300,"Intel Core i7-10750H, 16GB RAM, 1TB SSD",03-04-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 2 years
ASUS,ZenBook 14,"AMD Ryzen 5 5500U, 8GB RAM, 256GB SSD",14-09-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Low,Donated to a charity,Yes,B,Used by a volunteer for 1 year
Dell,XPS 15,"Intel Core i9-11900H, 32GB RAM, 1TB SSD",20-12-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, carbon fiber",High,Sent to a recycling facility,Yes,Gold,Used by a content creator for 8 months
HP,Spectre x360,"Intel Core i7-1165G7, 16GB RAM, 1TB SSD",08-08-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Low,Donated to a charity,Yes,A,Used by a volunteer for 1 year
Dell,Inspiron 15,"AMD Ryzen 7 5800H, 32GB RAM, 1TB SSD",15-07-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a power user for 4 years
Lenovo,Yoga C940,"Intel Core i7-1065G7, 16GB RAM, 512GB SSD",10-09-2021,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a student for 8 months
ASUS,ROG Zephyrus G14,"AMD Ryzen 9 5900HS, 32GB RAM, 1TB SSD",28-02-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 2 years
Acer,Swift 3,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD",05-12-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Low,Donated to a community center,Yes,B,Used by a community center for 1 year
Microsoft,Surface Book 3,"Intel Core i7-1065G7, 32GB RAM, 1TB SSD",18-06-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, magnesium, plastic",High,Landfill,No,Gold,Used by a designer for 3 years
HP,Omen 15,"AMD Ryzen 7 4800H, 16GB RAM, 512GB SSD",30-10-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a gamer for 5 months
Dell,Precision 5550,"Intel Core i9-10885H, 64GB RAM, 1TB SSD",25-03-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, carbon fiber",Low,Donated to a school,Yes,Gold,Used by a student for 6 months
Apple,iPad Pro 12.9,"Apple M1, 8GB RAM, 256GB SSD",20-05-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, glass, plastic",Moderate,Landfill,No,Silver,Used by an artist for 2 years
Samsung,Chromebook Plus,"Intel Celeron N4000, 4GB RAM, 64GB eMMC",10-01-2021,Recycled,"Motherboard, CPU, RAM, eMMC","Plastic, metal, silicon",Low,Sent to a recycling facility,Yes,Bronze,Used by a student for 1 year
ASUS,TUF Gaming A15,"AMD Ryzen 5 4600H, 16GB RAM, 512GB SSD",05-08-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a charity,Yes,Silver,Used by a volunteer for 1 year
Lenovo,IdeaPad 5,"AMD Ryzen 7 5700U, 16GB RAM, 1TB SSD",28-04-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a power user for 3 years
Microsoft,Surface Go 2,"Intel Pentium Gold 4425Y, 8GB RAM, 128GB SSD",15-09-2020,Reused,"Motherboard, CPU, RAM, SSD","Magnesium, plastic, silicon",Low,Donated to a library,Yes,Bronze,Used by a librarian for 1 year
HP,Pavilion x360,"Intel Core i3-10110U, 4GB RAM, 128GB SSD",02-01-2022,Recycled,"Motherboard, CPU, RAM, SSD","Plastic, metal, silicon",Low,Sent to a recycling facility,Yes,Bronze,Used by a student for 1 year
ASUS,VivoBook 15,"AMD Ryzen 5 3500U, 12GB RAM, 256GB SSD",12-06-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a charity,Yes,Silver,Used by a volunteer for 1 year
Acer,Swift 5,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD",18-04-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Magnesium, aluminum, silicon",Moderate,Landfill,No,Gold,Used by a business professional for 2 years
Lenovo,IdeaCentre 5,"AMD Ryzen 5 4600G, 8GB RAM, 256GB SSD",28-09-2021,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Medium,Sent to a recycling facility,Yes,Silver,Used by a home user for 4 months
Dell,G5 Gaming Desktop,"Intel Core i7-10700F, 16GB RAM, 512GB SSD",10-02-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a school,Yes,Silver,Used by a student for 1 year
HP,Elite Dragonfly,"Intel Core i5-8265U, 8GB RAM, 256GB SSD",08-12-2020,Disposed,"Motherboard, CPU, RAM, SSD","Magnesium, plastic, silicon",Low,Landfill,No,Bronze,Used by a business traveler for 2 years
ASUS,ROG Strix G15,"AMD Ryzen 7 5800H, 32GB RAM, 1TB SSD",05-11-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Sent to a recycling facility,Yes,Gold,Used by a gamer for 6 months
Lenovo,ThinkCentre M720q,"Intel Core i5-8400T, 8GB RAM, 256GB SSD",15-03-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Donated to a community center,Yes,Silver,Used by a community center for 1 year
Microsoft,Surface Studio 2,"Intel Core i7-7820HQ, 32GB RAM, 1TB SSD",20-05-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",High,Landfill,No,Gold,Used by a graphic designer for 3 years
Acer,Predator Triton 500,"Intel Core i7-10750H, 16GB RAM, 1TB SSD",30-09-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a gamer for 4 months
Apple,MacBook Pro 16,"Intel Core i9, 32GB RAM, 1TB SSD",01-07-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, glass, plastic",Low,Donated to a school,Yes,A,Used by a student for 1 year
HP,ENVY Desktop,"Intel Core i7-10700, 16GB RAM, 512GB SSD",25-08-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Landfill,No,Bronze,Used by a power user for 2 years
Dell,Precision 3440 Compact,"Intel Core i5-10500, 16GB RAM, 256GB SSD",12-03-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Medium,Sent to a recycling facility,Yes,Silver,Used by a developer for 5 months
ASUS,Chromebook Flip,"Intel Core m3, 4GB RAM, 64GB eMMC",30-01-2021,Reused,"Motherboard, CPU, RAM, eMMC","Aluminum, plastic, silicon",Low,Donated to a library,Yes,Bronze,Used by a student for 1 year
Lenovo,Legion 5,"AMD Ryzen 5 4600H, 16GB RAM, 512GB SSD",15-05-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 3 years
Microsoft,Surface Pro X,"Microsoft SQ2, 16GB RAM, 256GB SSD",05-10-2020,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Magnesium, plastic, silicon",Low,Sent to a recycling facility,Yes,Bronze,Used by a professional for 2 years
HP,Pavilion 27,"Intel Core i5-10400T, 8GB RAM, 256GB SSD",10-04-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Donated to a charity,Yes,Silver,Used by a volunteer for 1 year
Dell,Alienware Aurora R10,"AMD Ryzen 9 5900X, 32GB RAM, 1TB SSD",10-12-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 6 months
ASUS,ProArt StudioBook Pro 17,"Intel Core i7-9750H, 32GB RAM, 1TB SSD",28-06-2021,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a content creator for 4 months
Lenovo,IdeaPad Gaming 3,"AMD Ryzen 5 4600H, 8GB RAM, 512GB SSD",18-12-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a school,Yes,Silver,Used by a student for 1 year
Microsoft,Surface Laptop Go,"Intel Core i5, 8GB RAM, 128GB SSD",30-11-2020,Disposed,"Motherboard, CPU, RAM, SSD","Plastic, metal, silicon",Low,Landfill,No,Bronze,Used by a student for 2 years
Acer,ConceptD 7,"Intel Core i7-9750H, 32GB RAM, 1TB SSD",20-07-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a designer for 3 years
HP,Slim Desktop S01-pF1016,"Intel Pentium Gold G6400, 4GB RAM, 1TB HDD",28-02-2021,Reused,"Motherboard, CPU, GPU, RAM, HDD","Plastic, metal, silicon",Low,Donated to a charity,Yes,Bronze,Used by a volunteer for 1 year
ASUS,VivoBook Pro 14,"Intel Core i5-1135G7, 8GB RAM, 512GB SSD",05-09-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Landfill,No,Silver,Used by a business professional for 2 years
Dell,Inspiron 27 7000,"Intel Core i7-10700, 16GB RAM, 512GB SSD",25-04-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Medium,Sent to a recycling facility,Yes,Silver,Used by a home user for 5 months
Lenovo,Yoga 9i,"Intel Core i7-1185G7, 16GB RAM, 512GB SSD",15-10-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, leather, plastic",Low,Donated to a school,Yes,Silver,Used by a student for 1 year
Microsoft,Surface Pro 6,"Intel Core i5, 8GB RAM, 256GB SSD",12-06-2020,Disposed,"Motherboard, CPU, RAM, SSD","Magnesium, plastic, silicon",Low,Landfill,No,Bronze,Used by a student for 3 years
HP,EliteBook x360,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD",28-11-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a business professional for 4 months
ASUS,ZenBook Pro Duo,"Intel Core i9-10980HK, 32GB RAM, 1TB SSD",10-08-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Low,Donated to a charity,Yes,Gold,Used by a content creator for 1 year
Acer,Nitro 5,"AMD Ryzen 7 5800H, 16GB RAM, 512GB SSD",18-03-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 3 years
Lenovo,ThinkPad E14,"Intel Core i5-10210U, 8GB RAM, 256GB SSD",28-12-2021,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Medium,Sent to a recycling facility,Yes,Silver,Used by a business professional for 1 year
Dell,Latitude 7420,"Intel Core i7-1185G7, 16GB RAM, 512GB SSD",01-07-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, carbon fiber",Low,Landfill,No,Gold,Used by an executive for 6 months
Apple,iPad Air 4,"Apple A14 Bionic, 64GB",15-10-2020,Reused,"Motherboard, CPU, RAM, storage","Aluminum, glass, plastic",Low,Donated to a school,Yes,Bronze,Used by a student for 1 year
HP,Spectre x360 14,"Intel Core i7-1165G7, 16GB RAM, 1TB SSD",15-04-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Moderate,Sent to a recycling facility,Yes,Silver,Used by a professional for 8 months
Samsung,Odyssey G7 Monitor,"27-inch, 1440p, 240Hz",20-02-2021,Reused,"Display panel, frame, stand","Plastic, metal",Low,Donated to a gaming club,Yes,B,Used by a gaming club for 1 year
ASUS,ROG Swift PG279Q Monitor,"27-inch, 1440p, 165Hz",10-11-2020,Disposed,"Display panel, frame, stand","Plastic, metal",Low,Landfill,No,Bronze,Used by a gamer for 2 years
LG,UltraGear 27GL83A-B Monitor,"27-inch, 1440p, 144Hz",05-01-2022,Recycled,"Display panel, frame, stand","Plastic, metal",Moderate,Sent to a recycling facility,Yes,Silver,Used by a content creator for 10 months
Dell,UltraSharp U2719D Monitor,"27-inch, 1440p, 60Hz",10-08-2021,Reused,"Display panel, frame, stand","Plastic, metal",Low,Donated to a school,Yes,Bronze,Used by a teacher for 2 years
Acer,Predator XB271HU Monitor,"27-inch, 1440p, 144Hz",28-03-2022,Disposed,"Display panel, frame, stand","Plastic, metal",Low,Landfill,No,Bronze,Used by a gamer for 3 years
Lenovo,ThinkVision P27h Monitor,"27-inch, 1440p, 60Hz",15-12-2021,Recycled,"Display panel, frame, stand","Plastic, metal",Moderate,Sent to a recycling facility,Yes,Silver,Used by a graphic designer for 1 year
Microsoft,Surface Pro 8,"Intel Core i5, 8GB RAM, 256GB SSD",20-09-2022,Reused,"Motherboard, CPU, RAM, SSD","Magnesium, plastic, silicon",Low,Donated to a library,Yes,Bronze,Used by a librarian for 1 year
HP,Pavilion 32 QHD Monitor,"32-inch, 1440p, 75Hz",28-06-2022,Disposed,"Display panel, frame, stand","Plastic, metal",Low,Landfill,No,Bronze,Used by a home user for 4 years
ASUS,ProArt Display PA278QV,"27-inch, 1440p, 75Hz",02-04-2021,Recycled,"Display panel, frame, stand","Plastic, metal",Moderate,Sent to a recycling facility,Yes,Silver,Used by a content creator for 2 years
Dell,G3 15 Gaming Laptop,"Intel Core i7-10750H, 16GB RAM, 512GB SSD",22-05-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a charity,Yes,Silver,Used by a volunteer for 1 year
Lenovo,IdeaPad Flex 5,"AMD Ryzen 5 4500U, 8GB RAM, 256GB SSD",12-12-2020,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Landfill,No,Bronze,Used by a student for 3 years
Apple,MacBook Pro 14,"M2 chip, 16GB RAM, 512GB SSD",28-11-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, recycled plastic",Moderate,Sent to a recycling facility,Yes,Gold,Used by a developer for 9 months
Samsung,Galaxy Tab S7,"Snapdragon 865+, 6GB RAM, 128GB SSD",30-07-2021,Reused,"Motherboard, CPU, RAM, storage","Aluminum, glass, plastic",Low,Donated to a school,Yes,Bronze,Used by a student for 1 year
ASUS,Chromebook Flip C434,"Intel Core m3, 4GB RAM, 64GB eMMC",05-02-2021,Disposed,"Motherboard, CPU, RAM, eMMC","Plastic, metal, silicon",Low,Landfill,No,Bronze,Used by a professional for 2 years
Microsoft,Surface Studio 2,"Intel Core i7-7820HQ, 32GB RAM, 1TB SSD",15-11-2021,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic",Moderate,Sent to a recycling facility,Yes,Silver,Used by a graphic designer for 4 months
HP,Omen 30L Gaming Desktop,"AMD Ryzen 9 5900X, 32GB RAM, 1TB SSD",10-02-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a charity,Yes,Gold,Used by a gamer for 1 year
Acer,Aspire 5,"AMD Ryzen 5 5500U, 8GB RAM, 256GB SSD",05-09-2021,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Moderate,Landfill,No,Bronze,Used by a student for 2 years
ASUS,TUF Gaming VG27AQ Monitor,"27-inch, 1440p, 165Hz",30-04-2021,Recycled,"Display panel, frame, stand","Plastic, metal",Moderate,Sent to a recycling facility,Yes,Silver,Used by a gamer for 3 years
Lenovo,Legion 5,"AMD Ryzen 7 5800H, 16GB RAM, 1TB SSD",18-08-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",High,Landfill,No,Gold,Used by a gamer for 5 years
Dell,Alienware Aurora R10,"AMD Ryzen 9 5950X, 64GB RAM, 2TB SSD",25-06-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a charity,Yes,Gold,Used by a content creator for 1 year
Apple,iPhone 13 Pro,"Apple A15 Bionic, 128GB",01-10-2021,Recycled,"Motherboard, CPU, RAM, storage","Aluminum, glass, plastic",Low,Sent to a recycling facility,Yes,Gold,Used by a professional for 1 year
Samsung,Odyssey G9 Monitor,"49-inch, 5120x1440, 240Hz",02-03-2022,Disposed,"Display panel, frame, stand","Plastic, metal",High,Landfill,No,Gold,Used by a gamer for 2 years
ASUS,VivoBook 15,"Intel Core i5-1135G7, 12GB RAM, 512GB SSD",08-12-2021,Reused,"Motherboard, CPU, GPU, RAM, SSD","Plastic, metal, silicon",Low,Donated to a school,Yes,Silver,Used by a student for 1 year
Microsoft,Surface Laptop Studio,"Intel Core i7-11390H, 32GB RAM, 1TB SSD",10-09-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic",Moderate,Landfill,No,Silver,Used by a designer for 6 months
HP,Pavilion 27 Quantum Dot Monitor,"27-inch, 1440p, 165Hz",15-04-2021,Recycled,"Display panel, frame, stand","Plastic, metal",Moderate,Sent to a recycling facility,Yes,Silver,Used by a home user for 1 year
ASUS,ZenBook 13,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD",05-11-2022,Reused,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, plastic, silicon",Low,Donated to a charity,Yes,Gold,Used by a volunteer for 1 year
Dell,XPS 17,"Intel Core i9-11900H, 32GB RAM, 1TB SSD",20-05-2022,Disposed,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, carbon fiber",High,Landfill,No,Gold,Used by a content creator for 9 months
Apple,iMac Pro,"Intel Xeon W, 64GB RAM, 1TB SSD",30-01-2022,Recycled,"Motherboard, CPU, GPU, RAM, SSD","Aluminum, glass, plastic",High,Sent to a recycling facility,Yes,Gold,Used by a video editor for 4 months
Samsung,Galaxy Tab A7,"Snapdragon 662, 3GB RAM, 32GB storage",22-08-2021,Reused,"Motherboard, CPU, RAM, storage","Plastic, metal",Low,Donated to a community center,Yes,Bronze,Used by a community center for 1 year
